descrip1art,codbarras,principio_activo,concentracion,forma_farmaceutica,blister,origen,generico,fabricante,cantidad_presentacion,usuario,status,usuario_root,status2,PA_Alter_FF,PA_Alter_CON,LastUpdated,timestamp2,timestamp1,principio_activo_Des,concentracion_Des,forma_farmaceutica_Des,origen_Des,fabricante_Des,principio_activo_Score,concentracion_Score,forma_farmaceutica_Score,blister_Score,origen_Score,generico_Score,fabricante_Score,cantidad_presentacion_Score,Score_Final,blister_Des,generico_Des,cantidad_presentacion_Des,patrocinador,patrocinador_Des,patrocinador_Score,origen_dato,codigo_atc,indicaciones,contraindicaciones,almacenamiento,requiere_recipe,marca,marca_Des,marca_Score,contenido_neto,contenido_neto_Des,contenido_neto_Score,codigo_atc_Des,codigo_atc_Score,requiere_recipe_Des,requiere_recipe_Score,segmento_etario,segmento_etario_Des,segmento_etario_Score,es_medicamento,es_medicamento_Score,url_imagen,clasificacion_insumo_Des,elasticidad_demanda,elasticidad_demanda_Des
Bolsa de transferencia de sangre JMS de 150-350 ml,¨=0JM8140100,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,JMS,,,150-350 ml,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Kit glucómetro Insuamed,0000000000,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Insuamed,,,,,,,,,NO_DEFINIDO,,,False,,,Equipo Médico,,
Recolector de orina pediátrico Sugama x 1 unidad,000000000002569,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Sugama,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Ondansetrón 4 mg/2 ml solución inyectable, 10 ampollas",000000000130,,,80,,,,,10,,,,,,,2026-06-19 16:27:42.163333,,,Ondansetrón,4 mg/2 ml,Solución inyectable,,,,,,,,,,,,,,10 ampollas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Cabestrillo pediátrico universal negro Vitalmed.,0000000002943,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Vitalmed,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Cubrebotas de tela SMS de 45 g, caja de 40 pares, KD Medical",0000000004633,,,,,,,,40,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,40 pares,,,,IA_FULL_ATTR_V1,,,,,,,KD Medical,,,,,,,,,NO_DEFINIDO,,,False,,,Descartable,,
"Jabón Neat con Gerdex 30g, 1 unidad Rodeneza",0000000007191,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,Jabón,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Rodeneza,,,30g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
"Guata ortopédica Genia Care de 10cm x 2.7m, caja con 6 rollos.",0000000016124,,,,,,,,6,,,,,,,2026-06-19 16:27:42.166666,,,,,Rollo,,,,,,,,,,,,,,6 rollos,,,,IA_FULL_ATTR_V1,,,,,,,Genia Care,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Guata ortopédica de 15 cm x 2.70 m, caja con 6 rollos.",0000000016131,,,,,,,,6,,,,,,,2026-06-19 16:27:42.166666,,,,,Rollo,,,,,,,,,,,,,,6 rollos,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
ORTOBAN GUATA 8X3 YDS (20 CM X 2.70 M) X 6 ROLLOS GENIA CARE,0000000016148,,,,,,,,6,,,,,,,2026-06-19 16:27:42.166666,,,,,Rollo,,,,,,,,,,,,,,6 rollos,,,,IA_FULL_ATTR_V1,,,,,,,GENIA CARE,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
