codigo,codbarras,descrip1art
------,---------,-----------
NULL,0000006,AMOXICILINA / ACID CLAVU 875+125 MG X 10
NULL,0000023,LEVOFLOXACINA 500MG/100ML I.V.
00000291,00000291,METFORMINA1GR/SITAGLIPTINA 50MG X30 TABL
NULL,00004,DICLOFENAC POTASICO 25 MG/5 ML X60 ZAKI
0000456,0000456,COLAYTE TARRO 69.57 G
NULL,0004,AMP BETAMETASONA 4 MGX1 FV
NULL,0008,AMP BETAMETASONA 8 MG X1 FV
00220,00220,SUERO DE REHIDRATACION ORAL ZAKI
NULL,0118906047594,Nitazoxanida TAB 500 mg JMW
NULL,012345,CELECOXIB 200MGX10 TAB UNICURE
NULL,019041000016,MEMANTINA 10 MG X 10 TAB PROVE PHARMA
NULL,0190410000469,PREDNISONA 5 MG X 10 TAB PROVE FARMA
NULL,0190410000513,QUEATIAPINA 100 MG X 10 TAB PROVE PHARMA
020800753067,020800753067,PEPTO-BISMOL SUSP ORAL
021281083261,021281083261,BETADEX 0.1% BETAMETASONA DIPIONAT LIALI
021281083292,021281083292,PHARMATINEX CJ X 30 TAB LIALI
NULL,021281086217,EMPAGLIF/EMPAGLIFLOZINA 25 MG X30 BUKA
NULL,021281892207,AMOXICILINA /ACID CLAVULANICO 875/125MG
0323533709,0323533709,VITA SUPOSITORIOS X 4 UNI 3GRS
NULL,05566,VALSARTAN160MG X10 TAB BRIXMEDIC
0720524031013,0720524031013,NIFEDIPINA 20MG X30 TABL LATTAN
0730170649289,0730170649289,DEXAMETASONA 8 MG X 10 TAB KMPLUS
0730170649586,0730170649586,DILTIAZEM 60 MG X 20 TAB KMPLUS
0736372722454,0736372722454,BETAHISTINA CLORHIDRATO 8MG X 30TAB M&M
NULL,0736372722492,BETAHISTINA CLORHIDRATO 16MG X 30TAB H
0736372722508,0736372722508,BUTILBROMURO DE HIOSCINA X20TABL H.M
0736372827401,0736372827401,N-BULTIBROM HIOSCINA+DIPIRONA AMP IM/IV
NULL,0791466993424,DROPRES TAB 8MG X 10  CANDESARTAN CILEX
NULL,0791466993486,ESOMEPRAZOL MAGNESICO 20 MG NEXPLUS DPT
NULL,08904255500198,LERCANIDIPINA 10 MG X 30 TAB ZUZU
NULL,08906051293052,AMOXICILI+ACID CLAV.875MG/125MG X 10TAB
NULL,08906051293069,CLOBETASOL+NEOMICINA+MICONAZOL 20MG ARTE
NULL,08906051293076,KETOROLAC 10 MG X 10 TAB ARTE MEDICO
NULL,08906051293090,SERTRALINA 50 MG X 10 TAB ARTE MEDICO
1010,1010,ISEPTIC X4 PASTILLA SABOR MENTA
102859,102859,DICLOFENA SODICO AMP DETALLADO
103256,103256,METOCLOPRAMIDA I.M/I.V AMPOLLA
110,110,PROTON TAB 40      MG X 10 PRIMS PANTO
NULL,110896,CITICOLINA 500MG/2ML AMP I.V ADN MEDICAL
112255006215,112255006215,MUPIROGEN 2 UNGUENTO X30 GR FARMAGENIK
112345202237,112345202237,CITRATO DE POTASIO SOL X500ML
1137,1137,TORSILAX BLISTER
12121001,12121001,RANITIDINA 150      MG X 10 TAB UNICUR
NULL,12345,CELECOXIB 200MGX10 TAB UNICURE
124865423948,124865423948,CLORURO DE SODIO 0.9% ZAKIMED
1254,1254,BLI TORSILIVE X 10 TAB
1254896321544,1254896321544,RINGER LACTATO SOL 500ML ZAKIMED
159863,159863,FINAL GRIP SOBRE DIA
NULL,15987463,TRITICUM VULGARE 0.6 G X 6 OVUL SAN LORE
NULL,17598252000010,DEXAMETASONA 4MG 1ML X 10 AMP
NULL,1760,MONTELUKA + DESLORA X 10 TAB BRIXMEDI
NULL,17707236120143,BROMURO DE HIOSCINA + DIPIRONA AMP
NULL,18904030979376,MICONAZOL CREMA 15GR PHARMA COLINA
18904187887845,18904187887845,ITRASEC ITRACONASOL + SECNIDAZOL X 10TAB
18906047595679,18906047595679,METRONIDAZOL 1 % X 40G UNILINK PHARMA
18906051722719,18906051722719,LONAC DICLOFENAC /SODICO 50MG X10 SUPOS
NULL,189634,BUDESONIDA 1MG/ML SUSP INHALAR DROTACA
NULL,1899,PARACETAMOL 500MG
NULL,19041000016,MEMANTINA 10 MG X 10 TAB PROVE PHARMA
NULL,190410000238,DESLORATADINA 10 MG X 10 TAB PROVE PHARM
NULL,190410000469,PREDNISONA 5 MG X 10 TAB PROVE FARMA
NULL,190410000483,CAPTOPRIL 25 MG PROVE PHARMA
NULL,190410000506,QUETIAPINA 100MG X 30 TAB PROVE PHARMA
NULL,190410000513,QUEATIAPINA 100 MG X 10 TAB PROVE PHARMA
NULL,190410000575,CETIRIZINA 10MG X 10 TAB PROVE PHARMA
NULL,190410000599,CITICOLINA 500MG X 10 TAB PROVE PHARMA
NULL,190410000674,IBUPROFENO 400MG X 10 TAB PROVE PHARMA
NULL,190410000698,METFORMINA 500MG X 10 TAB PROVE PHARMA
NULL,196852522460,MAITE ANANTO NOREST50ML+VALER ESTRAD 5MG
196852644438,196852644438,DEPOFEM MEDROXIPROGERSTERONA SOL IM 1 ML
NULL,19815,CLORFENIRAMINA 4 MG X 10 TAB ZAKI
198168325414,198168325414,GLICERIN BABY 0.86 G X 6 SUP TIARE
198168629901,198168629901,GLICERIN ADULTO 2.58 G X6 SUP TIARES
198168700730,198168700730,GLICERIN KIDS 1.72 G X 6 SUP TIARE
198715171839,198715171839,ITRASEC ITRACONAZOL/SECNIDAZOL X12 CAP
198715202847,198715202847,OMEGA 3 DE 1000MG X60CAP VAL
199284648449,199284648449,ESTROGIN 0.1% X 15G-CREMA VAGINAL TIARES
NULL,202506,AGUA ESTERIL PARA INYECCION USP AMPX10ML
NULL,20263,LEVOFLOXACINA 750 MG X 10 TAB BRIX MEDIC
NULL,2040502,GEMFIBROZILO 600MG X 10 TAB PORTUGAL
NULL,210466,CIPROFLOXACINA 200 MG/100ML I.V. MEDEK
2111503,2111503,PENICILINA 2.400 AMP BENZATI MEDEX
NULL,21118,PROPRANOLOL 40 MG X 10 TAB BRIXMEDIC
NULL,21164,ATENOLOL 50 MG X 10 MG BRIXMEDIC
NULL,21231,CEFIXIMA 400 MG X 10 TAB BRIXMEDIC
NULL,21276,LEVOFLOXACINA 500MG X 10 TAB BRIXMEDIC
NULL,21281083261,BETADEX 0.1% BETAMETASONA DIPIONAT LIALI
212810862314,212810862314,AXE PAROXETINA 20MG X30 TABL BUKA
212810862628,212810862628,ITRACONAZOL100X10 CAP BUKA
212810862796,212810862796,OLMESARTAN 40MGX30TABL BUKA
NULL,22190,MONTELUKAST 5 MG X 10 TAB BRIXMEDI
NULL,22192,NIFEDIPINA 10 MG X 10 TAB BRIXMEDIC
NULL,231821,IBUPRO / TIOCOLCHI 600MG-4MG X10TAB BRIX
2507,2507,LIDOCAINA AMP 2% IM/IV 3ML
25893,25893,CEFALOTINA 1G I.V/I.M  VICAR
NULL,260394,SALBUTAMOL 5 MG/ML SOLU/INHALAR DROTACA
NULL,27233,KETOCONAZOL 400MG CJX6OVULOS SAN LORENZO
3030,3030,HIDROCORTISONA 100MGX1 AMP CORTIPRA
NULL,310679,CLINDAMICINA 100MG X 6 OVULOS SAN LORENZ
NULL,3286,DINITRATO DE ISOSORBRIDE 10MG X 10 COMP
3401353789500,3401353789500,PROTECTOR SOLAR BIODERMA MAX  40ML
3567,3567,ATROPINA 0.5       MG /ML 1ML AMP MEDI
3582910027768,3582910027768,APROVEL 150MG X14 COMP SANOFI
NULL,407,OMEPRAZOL+BICARBO 20MG/110MG X10TAB PROV
4104480705113,4104480705113,PROSPAN JBE X 100 ML
4785,4785,ACIDO FOLICO 10      MG /MLX 1 AMP DRO
5007786,5007786,AMLODIPINA 5 MG X60 DOROPHARMA
5008081,5008081,AMLODIPINA 10MG X60 COPR DOROPHARMA
NULL,5060560910732,TRIDERMARON
NULL,5062051250884,MALEATO TIMOLOL 0.5% SOL OFT
5093349,5093349,ACIDO ALENDRONICO 70MG X 4 COMP AZEVEDOS
5164611,5164611,LOSARTAN 100MG X 60 COMP
5368105,5368105,CANDESARTAN 16MG X56 COMP
NULL,5566,VALSARTAN160MG X10 TAB BRIXMEDIC
5600360011637,5600360011637,CLAVOXILIN 250mg-62.5/5ml
5600360011644,5600360011644,CLAVOXILIN 500MG-125MG X 16 COMP ATRAL
5600360013983,5600360013983,ACICLOSINA - ACICLOVIR 5% 10G CREMA
5600360014072,5600360014072,CLAVOXILIN 875MG-125MG X 16 COMP
5600360014089,5600360014089,CLAVOXILIN 400-5ML
5600360014096,5600360014096,CLAVOXILIN 600/5ML X100ML
NULL,56658,VITAMINA C 500MG XBLIS 10TAB MAST LETISA
NULL,5802,ADRENALINA AMP 1 MG BIOSANO
5803,5803,DIPIRONA AMP 1GR 2ML  X 1
5941230143257,5941230143257,SOLUCION FISIOLOGICA 0.09%X500ML BIOMEDI
NULL,600,EMPAGLIFLOZINA10 MG X10 TABL KWALITY
612197755559,612197755559,GLUTAPAK
617748376283,617748376283,CRANBERRY Y VITAMINA C 30CAP LAB VAL
62458,62458,SULFADIAZINA DE PLATA CREMA 30G KWALITY
632627843373,632627843373,MUPIROCINA 2% UNG 15G H
632627843397,632627843397,CLOBETASOL UNGUENTO 15 GR H
632627843410,632627843410,ESPIRONOLACTONA 25MG X 10
632627843427,632627843427,ONDASETRON 4MG X 10 H
632627843496,632627843496,clotrimazol crema vaginal 40 gr hym
632627843519,632627843519,DICLOFENAC POTASICO 180MG/ML SUSP ORAL
